"ref.date","friendly.name","price.adjusted","daily.return"
2010-11-23,"SMI",6393.790039,-0.0214839575522292
2010-11-24,"SMI",6449.799805,0.00872187943411593
2010-11-25,"SMI",6502.140137,0.00808228221475419
2010-11-26,"SMI",6483.560059,-0.0028616232315146
2010-11-29,"SMI",6397.5,-0.0133624622729296
2010-11-30,"SMI",6312.430176,-0.0133865557392272
2010-12-01,"SMI",6409.700195,0.0152917650753226
2010-12-02,"SMI",6483.439941,0.0114387262151552
2010-12-03,"SMI",6440.899902,-0.00658295791360388
2010-12-06,"SMI",6412.220215,-0.00446268833351756
2010-12-07,"SMI",6462.529785,0.00781527036547591
2010-12-08,"SMI",6508.129883,0.00703129787323291
2010-12-09,"SMI",6537.629883,0.00452254997953968
2010-12-10,"SMI",6519.140137,-0.00283221016088489
2010-12-13,"SMI",6519.080078,-9.21276048578227e-06
2010-12-14,"SMI",6545.839844,0.00409643588794697
2010-12-15,"SMI",6560.430176,0.00222646687500656
2010-12-16,"SMI",6566.169922,0.000874521402793728
2010-12-17,"SMI",6538.160156,-0.00427489364036804
2010-12-20,"SMI",6521.25,-0.00258972882372764
2010-12-21,"SMI",6558.169922,0.00564551337580505
2010-12-22,"SMI",6553.700195,-0.000681783320495644
2010-12-23,"SMI",6599.430176,0.00695350292565731
2010-12-27,"SMI",6568.209961,-0.00474196943071745
2010-12-28,"SMI",6569.060059,0.000129417755727405
2010-12-29,"SMI",6566.649902,-0.000366962582791842
2010-12-30,"SMI",6436.040039,-0.0200903438668024
2011-01-03,"SMI",6493.879883,0.00894672668648424
2011-01-04,"SMI",6494.310059,6.62411008893082e-05
2011-01-05,"SMI",6519.25,0.00383292064895808
2011-01-06,"SMI",6532.839844,0.00208240198670737
2011-01-07,"SMI",6497.640137,-0.00540268549917868
2011-01-10,"SMI",6446.319824,-0.0079296570864687
2011-01-11,"SMI",6534.839844,0.0136384413060579
2011-01-12,"SMI",6613.75,0.012002975881907
2011-01-13,"SMI",6562.470215,-0.00778372599542865
2011-01-14,"SMI",6556.089844,-0.000972724365234202
2011-01-17,"SMI",6578.169922,0.00336221442147514
2011-01-18,"SMI",6634.930176,0.00859156484474223
2011-01-19,"SMI",6559.660156,-0.0114093480155169
2011-01-20,"SMI",6513.5,-0.00706184997076042
2011-01-21,"SMI",6567.310059,0.00822737464868791
2011-01-24,"SMI",6603.799805,0.00554089059071421
2011-01-25,"SMI",6580.330078,-0.00356030348603351
2011-01-26,"SMI",6592.990234,0.00192209095320371
2011-01-27,"SMI",6562.359863,-0.00465672538184012
2011-01-28,"SMI",6528.129883,-0.00522975972344458
2011-01-31,"SMI",6479.149902,-0.00753119996144253
2011-02-01,"SMI",6555.259766,0.0116784313155375
2011-02-02,"SMI",6553.669922,-0.000242558934350006
2011-02-03,"SMI",6544.910156,-0.00133751402880792
2011-02-04,"SMI",6584.399902,0.00601552783942196
2011-02-07,"SMI",6611.140137,0.00405292568918646
2011-02-08,"SMI",6638.660156,0.00415403371601091
2011-02-09,"SMI",6631.640137,-0.00105800464192032
2011-02-10,"SMI",6612.060059,-0.00295689149954759
2011-02-11,"SMI",6665.220215,0.00800773034411609
2011-02-14,"SMI",6666.060059,0.000125996000961638
2011-02-15,"SMI",6690.899902,0.00371938999719026
2011-02-16,"SMI",6711.649902,0.00309642819947973
